lake,date,air_temp_c,specific_humidity,surface_pressure_pa,wind_speed_ms,shortwave_wm2,longwave_wm2,cape_jkg,precip_kg_m2,hours
Greenwood Lake,2019-10-21,11.928748067220075,0.007417358477444698,98638.94498697917,3.413115206373508,170.5861361424128,310.87999216715497,0.0,0.01279999950202182,24
Greenwood Lake,2019-10-22,12.056659952799501,0.007924483332317322,98635.79915364583,4.539684483378782,82.35737919807434,328.40999094645184,0.0,4.150599875894841,24
Greenwood Lake,2020-07-07,22.827493286132835,0.01530491680993388,98873.5166015625,3.9084804171419836,314.29622586568195,381.9991569519043,922.6347107092539,0.24239998776465654,24
Greenwood Lake,2020-07-08,23.793328857421898,0.01627393769255529,98630.03580729167,3.4113885056740263,226.96167532602945,402.82915751139325,918.6027119954427,6.5255995988845825,24
Greenwood Lake,2020-07-09,25.106245930989605,0.016339862641567986,98509.91861979167,3.0678529393926013,320.5440152486165,389.12498982747394,837.4240398406982,0.0,24
Greenwood Lake,2020-07-10,22.937084452311222,0.016118996078148484,98373.08333333333,4.598239420529409,161.52088030179343,391.05082448323566,302.6426830291748,50.186398706398904,24
Greenwood Lake,2020-07-11,21.739160156250023,0.01449164612373958,97624.79524739583,4.372909634367628,249.21993009249368,402.5012385050456,537.781358798345,13.325199763290584,24
Greenwood Lake,2020-07-12,23.539165751139347,0.014193904353305697,97585.59830729167,5.208220696019699,322.505557179451,372.05291112263996,353.40535338719684,0.03199999872595072,24
Greenwood Lake,2020-07-13,23.970838165283226,0.013525945988173286,97847.79622395833,3.62494832357833,310.66864013671875,382.3529103597005,516.1440251668295,1.9995999839156866,24
Greenwood Lake,2020-07-14,22.49083226521812,0.012292837724089622,98295.68326822917,3.494459701378855,320.878680229187,366.7424914042155,409.66668542226154,0.0,24
Greenwood Lake,2020-07-15,21.850835418701195,0.01230095016459624,99016.01009114583,2.8642266919974424,284.4071822166443,365.60415776570636,85.59466952768464,0.13920000195503235,24
Greenwood Lake,2020-07-16,21.351249949137394,0.013361446093767881,99398.20279947917,4.43364571440258,263.9373877843221,378.94790776570636,12.40000037352244,0.0,24
Greenwood Lake,2020-07-17,20.387497202555362,0.013723971011737982,99027.912109375,3.8215477564351374,193.09442675113678,394.9879086812337,439.90934363007545,0.04740000024321489,24
Greenwood Lake,2020-07-18,25.343748982747417,0.015813583430523675,98778.40690104167,2.216888135601208,320.0254321893056,377.8529103597005,1025.8773778279622,0.667999992147088,24
Greenwood Lake,2020-07-19,25.661248779296898,0.014778916956856847,98441.13444010417,4.795441069624709,315.3138916492462,372.8483250935872,683.4000348250071,0.0,24
Greenwood Lake,2020-07-20,27.221665954589866,0.017760125221684575,98109.06315104167,4.773842483300072,308.41868058840436,410.12915293375653,1531.202730814616,0.03999999933876097,24
Greenwood Lake,2020-07-21,25.20874684651695,0.014288941747508943,98513.35774739583,2.8609398574227503,313.7295978864034,373.48124440511066,265.1306775677949,0.0,24
Greenwood Lake,2020-07-22,26.51624959309898,0.01564157921044777,98617.5556640625,2.170986528478611,263.97809592882794,406.50082143147785,760.2800371646881,3.6115998529130593,24
